6.7s 1 /kaggle/input/cifar10-python/cifar-10-python.tar.gz
6.7s 2 /kaggle/input/cifar10-python/cifar-10-batches-py/data_batch_1
6.7s 3 /kaggle/input/cifar10-python/cifar-10-batches-py/data_batch_2
6.7s 4 /kaggle/input/cifar10-python/cifar-10-batches-py/batches.meta
6.7s 5 /kaggle/input/cifar10-python/cifar-10-batches-py/test_batch
6.7s 6 /kaggle/input/cifar10-python/cifar-10-batches-py/data_batch_3
6.7s 7 /kaggle/input/cifar10-python/cifar-10-batches-py/data_batch_5
6.7s 8 /kaggle/input/cifar10-python/cifar-10-batches-py/data_batch_4
6.7s 9 /kaggle/input/cifar10-python/cifar-10-batches-py/readme.html
10.4s 10 /opt/conda/lib/python3.10/site-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.16.5 and <1.23.0 is required for this version of SciPy (detected version 1.23.5
10.4s 11 warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
12.7s 12 Files already downloaded and verified
62.0s 13 [1, 200] loss: 2.449
25038.2s 592 [83, 1200] loss: 0.002
25077.4s 593 [83, 1400] loss: 0.003
25148.3s 594 [84, 200] loss: 0.002
25187.3s 595 [84, 400] loss: 0.002
25226.3s 596 [84, 600] loss: 0.005
25265.4s 597 [84, 800] loss: 0.003
25304.5s 598 [84, 1000] loss: 0.007
25343.5s 599 [84, 1200] loss: 0.004
25382.4s 600 [84, 1400] loss: 0.002
25453.2s 601 [85, 200] loss: 0.002
25492.4s 602 [85, 400] loss: 0.002
25531.5s 603 [85, 600] loss: 0.002
25570.6s 604 [85, 800] loss: 0.005
25609.6s 605 [85, 1000] loss: 0.004
25648.8s 606 [85, 1200] loss: 0.003
25687.9s 607 [85, 1400] loss: 0.004
25758.9s 608 [86, 200] loss: 0.004
25798.0s 609 [86, 400] loss: 0.006
25837.1s 610 [86, 600] loss: 0.004
25876.3s 611 [86, 800] loss: 0.003
25915.4s 612 [86, 1000] loss: 0.003
25954.4s 613 [86, 1200] loss: 0.003
25993.5s 614 [86, 1400] loss: 0.004
26064.5s 615 [87, 200] loss: 0.003
26103.5s 616 [87, 400] loss: 0.002
26142.7s 617 [87, 600] loss: 0.003
26181.8s 618 [87, 800] loss: 0.002
26220.8s 619 [87, 1000] loss: 0.004
26259.8s 620 [87, 1200] loss: 0.004
26298.9s 621 [87, 1400] loss: 0.002
26369.6s 622 [88, 200] loss: 0.002
26408.7s 623 [88, 400] loss: 0.001
26447.8s 624 [88, 600] loss: 0.002
26486.7s 625 [88, 800] loss: 0.007
26525.8s 626 [88, 1000] loss: 0.005
26564.7s 627 [88, 1200] loss: 0.004
26603.7s 628 [88, 1400] loss: 0.002
26674.5s 629 [89, 200] loss: 0.003
26713.5s 630 [89, 400] loss: 0.002
26752.4s 631 [89, 600] loss: 0.002
26791.3s 632 [89, 800] loss: 0.003
26830.4s 633 [89, 1000] loss: 0.002
26869.4s 634 [89, 1200] loss: 0.001
26908.4s 635 [89, 1400] loss: 0.003
26979.1s 636 [90, 200] loss: 0.003
27018.1s 637 [90, 400] loss: 0.003
27057.3s 638 [90, 600] loss: 0.002
27096.4s 639 [90, 800] loss: 0.005
27135.4s 640 [90, 1000] loss: 0.003
27174.4s 641 [90, 1200] loss: 0.003
27213.6s 642 [90, 1400] loss: 0.002
27284.5s 643 [91, 200] loss: 0.002
27323.5s 644 [91, 400] loss: 0.003
27362.6s 645 [91, 600] loss: 0.006
27401.6s 646 [91, 800] loss: 0.002
27440.8s 647 [91, 1000] loss: 0.002
27479.7s 648 [91, 1200] loss: 0.003
27518.7s 649 [91, 1400] loss: 0.003
27589.7s 650 [92, 200] loss: 0.002
27628.8s 651 [92, 400] loss: 0.002
27667.8s 652 [92, 600] loss: 0.002
27706.7s 653 [92, 800] loss: 0.003
27745.8s 654 [92, 1000] loss: 0.002
27785.2s 655 [92, 1200] loss: 0.001
27824.7s 656 [92, 1400] loss: 0.001
27895.8s 657 [93, 200] loss: 0.002
27934.7s 658 [93, 400] loss: 0.001
27973.7s 659 [93, 600] loss: 0.002
28012.8s 660 [93, 800] loss: 0.004
28051.8s 661 [93, 1000] loss: 0.002
28090.7s 662 [93, 1200] loss: 0.001
28129.7s 663 [93, 1400] loss: 0.002
28200.5s 664 [94, 200] loss: 0.001
28239.7s 665 [94, 400] loss: 0.001
28278.6s 666 [94, 600] loss: 0.001
28317.6s 667 [94, 800] loss: 0.001
28356.5s 668 [94, 1000] loss: 0.003
28395.5s 669 [94, 1200] loss: 0.003
28434.5s 670 [94, 1400] loss: 0.002
28505.3s 671 [95, 200] loss: 0.001
28544.3s 672 [95, 400] loss: 0.002
28583.3s 673 [95, 600] loss: 0.002
28622.5s 674 [95, 800] loss: 0.001
28661.5s 675 [95, 1000] loss: 0.002
28700.5s 676 [95, 1200] loss: 0.002
28739.5s 677 [95, 1400] loss: 0.002
28810.3s 678 [96, 200] loss: 0.006
28849.2s 679 [96, 400] loss: 0.006
28888.1s 680 [96, 600] loss: 0.002
28927.2s 681 [96, 800] loss: 0.003
28966.2s 682 [96, 1000] loss: 0.003
29005.1s 683 [96, 1200] loss: 0.004
29044.1s 684 [96, 1400] loss: 0.006
29114.7s 685 [97, 200] loss: 0.003
29153.8s 686 [97, 400] loss: 0.004
29193.0s 687 [97, 600] loss: 0.005
29232.0s 688 [97, 800] loss: 0.005
29270.9s 689 [97, 1000] loss: 0.005
29309.8s 690 [97, 1200] loss: 0.005
29348.6s 691 [97, 1400] loss: 0.004
29419.3s 692 [98, 200] loss: 0.003
29458.2s 693 [98, 400] loss: 0.004
29497.0s 694 [98, 600] loss: 0.002
29535.9s 695 [98, 800] loss: 0.002
29574.8s 696 [98, 1000] loss: 0.002
29613.9s 697 [98, 1200] loss: 0.003
29652.8s 698 [98, 1400] loss: 0.002
29723.5s 699 [99, 200] loss: 0.001
29762.4s 700 [99, 400] loss: 0.004
29801.5s 701 [99, 600] loss: 0.003
29840.4s 702 [99, 800] loss: 0.004
29879.4s 703 [99, 1000] loss: 0.004
29918.5s 704 [99, 1200] loss: 0.003
29957.4s 705 [99, 1400] loss: 0.005
30028.1s 706 [100, 200] loss: 0.004
30067.0s 707 [100, 400] loss: 0.002
30106.0s 708 [100, 600] loss: 0.002
30145.0s 709 [100, 800] loss: 0.003
30184.1s 710 [100, 1000] loss: 0.004
30223.1s 711 [100, 1200] loss: 0.001
30262.1s 712 [100, 1400] loss: 0.005
30324.1s 713 Accuracy on test set: 87.48%
30324.1s 714 Precision: 0.87
30324.1s 715 Recall: 0.87
30324.1s 716 F1 Score: 0.87
30324.1s 717 Confusion Matrix:
30324.1s 718 [[889   5  24  12   5   3   6   9  31  16]
30324.1s 719 [  8 936   2   1   1   1   3   4   9  35]
30324.1s 720 [ 24   0 830  27  37  27  40  10   5   0]
30324.1s 721 [ 15   5  39 759  22  85  36  21  16   2]
30324.1s 722 [  7   3  32  31 857  17  21  28   4   0]
30324.1s 723 [  7   0  22  99  13 819   9  23   5   3]
30324.1s 724 [  8   2  22  39  12  11 902   1   2   1]
30324.1s 725 [  6   1  17  18  18  21   2 912   2   3]
30324.1s 726 [ 29   9   3   5   1   2   3   2 930  16]
30324.1s 727 [ 13  33   2   7   2   0   5   5  19 914]]
30328.1s 728 /opt/conda/lib/python3.10/site-packages/traitlets/traitlets.py:2930: FutureWarning: --Exporter.preprocessors=["remove_papermill_header.RemovePapermillHeader"] for containers is deprecated in traitlets 5.0. You can pass `--Exporter.preprocessors item` ... multiple times to add items to a list.
30328.1s 729 warn(
30328.1s 730 [NbConvertApp] WARNING | Config option `kernel_spec_manager_class` not recognized by `NbConvertApp`.
30328.1s 731 [NbConvertApp] Converting notebook __notebook__.ipynb to notebook
30328.5s 732 [NbConvertApp] Writing 129161 bytes to __notebook__.ipynb
30329.9s 733 /opt/conda/lib/python3.10/site-packages/traitlets/traitlets.py:2930: FutureWarning: --Exporter.preprocessors=["nbconvert.preprocessors.ExtractOutputPreprocessor"] for containers is deprecated in traitlets 5.0. You can pass `--Exporter.preprocessors item` ... multiple times to add items to a list.
30329.9s 734 warn(
30329.9s 735 [NbConvertApp] WARNING | Config option `kernel_spec_manager_class` not recognized by `NbConvertApp`.
30329.9s 736 [NbConvertApp] Converting notebook __notebook__.ipynb to html
30330.7s 737 [NbConvertApp] Support files will be in __results___files/
30330.7s 738 [NbConvertApp] Making directory __results___files
30330.7s 739 [NbConvertApp] Making directory __results___files
30330.7s 740 [NbConvertApp] Writing 335614 bytes to __results__.html
